timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1540302522795,88,Home Page-0,301,Moved Permanently,Scenario 1 1-4,,true,,143,334,5,5,http://zara.com/,88,0,16
1540302522883,113,Home Page-1,302,Moved Temporarily,Scenario 1 1-4,,true,,147,334,5,5,https://zara.com/,113,0,85
1540302522996,184,Home Page-2,200,OK,Scenario 1 1-4,text,true,,33257,338,5,5,https://www.zara.com/,157,0,107
1540302523003,278,Page Returning 404,404,Not Found,Scenario 1 1-2,text,true,,10796,680,5,5,http://www.zara.com/test,32,0,0
1540302523003,32,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-2,,true,,150,338,5,5,http://zara.com/test,32,0,0
1540302523035,246,Page Returning 404-1,404,Not Found,Scenario 1 1-2,text,false,,10646,342,5,5,http://www.zara.com/test,244,0,26
1540302523053,359,Home Page,200,OK,Scenario 1 1-1,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33547,1006,5,5,https://www.zara.com/,45,0,22
1540302523053,45,Home Page-0,301,Moved Permanently,Scenario 1 1-1,,true,,143,334,5,5,http://zara.com/,45,0,22
1540302523098,89,Home Page-1,302,Moved Temporarily,Scenario 1 1-1,,true,,147,334,5,5,https://zara.com/,89,0,68
1540302523187,225,Home Page-2,200,OK,Scenario 1 1-1,text,true,,33257,338,5,5,https://www.zara.com/,186,0,132
1540302523282,332,Home Page,200,OK,Scenario 1 1-2,text,false,Test failed: text expected to contain /<h1>Example Domain</h1>/,33548,1006,5,5,https://www.zara.com/,30,0,14
1540302523282,30,Home Page-0,301,Moved Permanently,Scenario 1 1-2,,true,,143,334,5,5,http://zara.com/,30,0,14
1540302523312,110,Home Page-1,302,Moved Temporarily,Scenario 1 1-2,,true,,147,334,5,5,https://zara.com/,110,0,81
1540302523422,192,Home Page-2,200,OK,Scenario 1 1-2,text,true,,33258,338,5,5,https://www.zara.com/,162,0,106
1540302524193,171,Page Returning 404,404,Not Found,Scenario 1 1-5,text,true,,10796,680,5,5,http://www.zara.com/test,16,0,0
1540302524193,16,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-5,,true,,150,338,5,5,http://zara.com/test,16,0,0
1540302524209,155,Page Returning 404-1,404,Not Found,Scenario 1 1-5,text,false,,10646,342,5,5,http://www.zara.com/test,153,0,20
1540302524236,155,Page Returning 404,404,Not Found,Scenario 1 1-3,text,true,,10795,680,5,5,http://www.zara.com/test,23,0,0
1540302524236,23,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-3,,true,,150,338,5,5,http://zara.com/test,23,0,0
1540302524259,132,Page Returning 404-1,404,Not Found,Scenario 1 1-3,text,false,,10645,342,5,5,http://www.zara.com/test,122,0,30
1540302524280,187,Page Returning 404,404,Not Found,Scenario 1 1-4,text,true,,10796,680,5,5,http://www.zara.com/test,17,0,0
1540302524280,17,Page Returning 404-0,302,Moved Temporarily,Scenario 1 1-4,,true,,150,338,5,5,http://zara.com/test,17,0,0
1540302524297,170,Page Returning 404-1,404,Not Found,Scenario 1 1-4,text,false,,10646,342,5,5,http://www.zara.com/test,168,0,25
1540302524494,136,Page Returning 404,404,Not Found,Scenario 1 1-1,text,true,,10795,680,5,5,http://www.zara.com/test,24,0,0
